msc,,,"['(BRITJ)', '(BRPNG)', '(BRSSZ)', '(USPHL)', '(USNYC)']","['Itajai', 'Paranagua', 'Santos', 'Philadelphia', 'New York']",,ATHENS GLORY,9247766
msc,,,"['(SGSIN)', '(IDPLM)', '(SGSIN)']","['Singapore', 'Palembang, Sumatra', 'Singapore']",,ATI BHUM,9842750
msc,,,"['(GEPTI)', '(TRSSX)', '(TRTEK)', '(TRTEK)', '(GEPTI)']","['Poti', 'Samsun', 'Tekirdag (Asyaport)', 'Tekirdag (Asyaport)', 'Poti']",,AYSE NAZ BAYRAKTAR,9397420
msc,,,"['(GBPRU)', '(FRLEH)', '(FRBES)', '(FRLEH)', '(BEANR)']","['Portbury', 'Le Havre', 'Brest', 'Le Havre', 'Antwerp']",,BERNHARD,9347774
msc,,,"['(BEANR)', '(IEDUB)', '(FRLEH)', '(BEANR)']","['Antwerp', 'Dublin', 'Le Havre', 'Antwerp']",,BERNHARD SCHEPERS,9492505
msc,,,"['(USPEF)', '(BZBZE)', '(USPEF)']","['Port Everglades', 'Belize City', 'Port Everglades']",,BF CARTAGENA,9123817
msc,,,[],[],,BG JADE,9803687
msc,,,"['(AEAUH)', '(LKCMB)', '(LKHBA)', '(AEAUH)', '(AEAUH)']","['Abu Dhabi', 'Colombo', 'Hambantota', 'Abu Dhabi', 'Abu Dhabi']",,BOAT BLESSING,9134684
msc,,,"['(VNHPH)', '(VNVUT)', '(SGSIN)', '(USNYC)', '(USBAL)']","['Haiphong', 'Vung Tau', 'Singapore', 'New York', 'Baltimore']",,BREMEN,9450387
msc,,,[],[],,BREMEN BELLE,9367188
msc,,,"['(ARBUE)', '(UYMVD)', '(BRRIG)', '(BRNVT)']","['Buenos Aires', 'Montevideo', 'Rio Grande', 'Navegantes']",,BREMERHAVEN EXPRESS,9723253
msc,,,[],[],,BRIDGE,9158587
msc,,,[],[],,BSG BIMINI,9333058
msc,,,"['(CLIQQ)', '(CLVAP)', '(CLSVE)', '(CNYTN)', '(HKHKG)']","['Iquique', 'Valparaiso', 'San Vicente', 'Yantian', 'Hong Kong']",,BUENAVENTURA EXPRESS,9932488
msc,,,"['(MXZLO)', '(MXLZC)', '(PECLL)', '(CLIQQ)', '(CLPAG)']","['Manzanillo', 'Lazaro Cardenas', 'Callao', 'Iquique', 'Puerto Angamos']",,BUENOS AIRES EXPRESS,9932476
msc,,,"['(TRTEK)', '(TRGEM)', '(TRTEK)']","['Tekirdag (Asyaport)', 'Gemlik', 'Tekirdag (Asyaport)']",,BURAK BAYRAKTAR,9260536
msc,,,"['(PAMIT)', '(DOCAU)', '(DOHAI)']","['Manzanillo', 'Caucedo', 'Rio Haina']",,BURGUNDY,9372872
msc,,,"['(MXZLO)', '(PECLL)', '(CLIQQ)', '(CNTAO)', '(CNTAO)']","['Manzanillo', 'Callao', 'Iquique', 'Qingdao', 'Qingdao']",,C HAMBURG,9450375
msc,,,"['(SAKAC)', '(SAJED)', '(KEMBA)', '(SAKAC)']","['King Abdullah Port', 'Jeddah', 'Mombasa', 'King Abdullah Port']",,CAIRO PYRAMID,9202170
msc,,,[],[],,CAP JERVIS,9484572
msc,,,[],[],,CAP SAN VINCENT,9717228
msc,,,"['(PAROD)', '(PACTB)', '(PAONX)', '(MTMAR)', '(ITGIT)']","['Rodman', 'Cristobal', 'Colon', 'Marsaxlokk', 'Gioia Tauro']",,CAPE AKRITAS,9706190
msc,,,"['(CNSHK)', '(HKHKG)', '(SGSIN)', '(BRSSZ)', '(BRPNG)']","['Shekou', 'Hong Kong', 'Singapore', 'Santos', 'Paranagua']",,CAPE ARTEMISIO,9777175
msc,,,"['(CNSHK)', '(HKHKG)', '(SGSIN)', '(BRSSZ)', '(BRPNG)']","['Shekou', 'Hong Kong', 'Singapore', 'Santos', 'Paranagua']",,CAPE ARTEMISIO,9777175
msc,,,"['(PAROD)', '(PACTB)', '(PAONX)', '(MTMAR)', '(ITGIT)']","['Rodman', 'Cristobal', 'Colon', 'Marsaxlokk', 'Gioia Tauro']",,CAPE KORTIA,9727613
msc,,,"['(BRPNG)', '(BRITJ)', '(BRSSZ)', '(COCTG)', '(MXVER)']","['Paranagua', 'Itajai', 'Santos', 'Cartagena', 'Veracruz']",,CAPE PIONEER,9719874
msc,,,"['(ESBCN)', '(ESVLC)', '(ESVLC)', '(PTSIE)', '(PACTB)']","['Barcelona', 'Valencia', 'Valencia', 'Sines', 'Cristobal']",,CAPE SOUNIO,9727625
msc,,,"['(USLAX)', '(MXLZC)', '(PAROD)', '(PACTB)', '(MTMAR)']","['Los Angeles', 'Lazaro Cardenas', 'Rodman', 'Cristobal', 'Marsaxlokk']",,CAPE TAINARO,9706205
msc,,,"['(JPUKB)', '(JPOSA)', '(KRPUS)', '(JPUKB)']","['Kobe', 'Osaka', 'Busan', 'Kobe']",,CAPTAIN THANASIS I,9294159
msc,,,"['(JPUKB)', '(JPOSA)', '(KRPUS)', '(JPUKB)']","['Kobe', 'Osaka', 'Busan', 'Kobe']",,CAPTAIN THANASIS I,9294159
msc,,,['(USPEF)'],['Port Everglades'],,CARIBE LEGEND,9061289
msc,,,[],[],,CARIBE MARINER,9110547
msc,,,[],[],,CARIBE NAVIGATOR,9116204
msc,,,"['(USPEF)', '(KYGCM)', '(USPEF)']","['Port Everglades', 'Grand Cayman', 'Port Everglades']",,CARIBE VOYAGER,9113721
msc,,,"['(BRRIG)', '(BRITJ)', '(BRNVT)', '(BRPNG)', '(BRSSZ)']","['Rio Grande', 'Itajai', 'Navegantes', 'Paranagua', 'Santos']",,CATHERINE C,9969998
msc,,,"['(JPYOK)', '(MXESE)', '(MXZLO)', '(GTPRQ)', '(COBUN)']","['Yokohama', 'Ensenada', 'Manzanillo', 'Puerto Quetzal', 'Buenaventura']",,CAUQUENES,9687552
msc,,,[],[],,CCNI ANDES,9718935
msc,,,[],[],,CCNI ARAUCO,9683843
msc,,,"['(LKCMB)', '(MVMLE)', '(LKCMB)', '(MVMLE)', '(LKCMB)']","['Colombo', 'Male', 'Colombo', 'Male', 'Colombo']",,CELESTIA,9258997
msc,,,"['(SRPBM)', '(GYGEO)', '(TTPOS)', '(GYGEO)', '(SRPBM)']","['Paramaribo', 'Georgetown', 'Port-Of-Spain', 'Georgetown', 'Paramaribo']",,CELINE C,9463566
msc,,,"['(INMAA)', '(LKCMB)', '(INCOK)', '(AEJEA)', '(LKCMB)']","['Chennai', 'Colombo', 'Cochin', 'Jebel Ali', 'Colombo']",,CELSIUS EINDHOVEN,9969948
msc,,,"['(BEANR)', '(GBFXT)', '(GBLIV)', '(GBGRK)', '(FRLEH)', '(PTSIE)', '(ESVGO)', '(ESGIJ)', '(ESBIO)', '(FRLEH)', '(BEANR)', '(GBFXT)', '(GBLIV)', '(GBGRK)', '(FRLEH)', '(PTSIE)', '(ESVGO)', '(ESGIJ)', '(ESBIO)', '(FRLEH)', '(BEANR)', '(GBFXT)', '(GBLIV)', '(GBGRK)', '(FRLEH)', '(PTSIE)', '(ESVGO)', '(ESGIJ)', '(ESBIO)', '(FRLEH)']","['Antwerp', 'Felixstowe', 'Liverpool', 'Greenock', 'Le Havre', 'Sines', 'Vigo', 'Gijon', 'Bilbao', 'Le Havre', 'Antwerp', 'Felixstowe', 'Liverpool', 'Greenock', 'Le Havre', 'Sines', 'Vigo', 'Gijon', 'Bilbao', 'Le Havre', 'Antwerp', 'Felixstowe', 'Liverpool', 'Greenock', 'Le Havre', 'Sines', 'Vigo', 'Gijon', 'Bilbao', 'Le Havre']",,CHIQUITA FARMER,9336189
msc,,,"['(INTRV)', '(INHAL)', '(INCCU)', '(INHAL)', '(INTRV)']","['Vizhinjam International Sea Port', 'Haldia', 'Kolkata', 'Haldia', 'Vizhinjam International Sea Port']",,CHS COLOMBO,9351804
msc,,,[],[],,CLEMENTINE MAERSK,9245770
msc,,,"['(AUMEL)', '(AUADL)', '(NZTRG)', '(USSEA)', '(USOAK)']","['Melbourne', 'Adelaide', 'Tauranga', 'Seattle', 'Oakland']",,CMA CGM DUTCH HARBOR,9389409
msc,,,[],[],,CMA CGM IGUACU,9859131
msc,,,"['(FRLEH)', '(ESVLC)', '(FRFOS)', '(REPDG)', '(REPDG)']","['Le Havre', 'Valencia', 'Fos-Sur-Mer', 'Pointe Des Galets', 'Pointe Des Galets']",,CMA CGM LOIRE,9674531
msc,,,[],[],,CMA CGM NAVEGANTES,9303780
msc,,,"['(USSEA)', '(USOAK)', '(USLGB)', '(NZAKL)', '(AUSYD)']","['Seattle', 'Oakland', 'Long Beach', 'Auckland', 'Sydney']",,CMA CGM SEATTLE,9290098
msc,,,[],[],,CMA CGM TAGE,9674555
msc,,,[],[],,COCHRANE,9687540
