maersk,,,,"['Vila do Conde', 'Pecem', 'Vila do Conde', 'Pecem', 'Vila do Conde', 'Pecem', 'Vila do Conde', 'Pecem', 'Vila do Conde', 'Pecem', 'Vila do Conde', 'Pecem']",9292137,ALIANCA LEBLON,M4G
maersk,,,,"['Salalah', 'Mogadishu', 'Salalah', 'Mogadishu', 'Salalah']",9273961,ALIANCA MANAUS,I3P
maersk,,,,"['Lome', 'Apapa', 'Onne', 'Cotonou', 'Singapore', 'Tanjung Pelepas']",9938303,ALS CERES,EE1
maersk,,,,"['Singapore', 'Tanjung Pelepas']",9938315,ALS FIDES,EM0
maersk,,,,"['Jakarta', 'Xingang']",9431719,ALS JUNO,U2T
maersk,,,,"['Tanjung Pelepas', 'Singapore', 'Gwangyang', 'Busan', 'Tanjung Pelepas', 'Singapore', 'Ningbo', 'Repair Yard']",9327786,ALS KRONOS,D6J
maersk,,,,"['Canakkale', 'Izmir', 'Salerno', 'Leghorn', 'Port Tangier Mediterranee', 'Newark', 'Norfolk', 'Savannah', 'Port Everglades']",9407146,ALTAMIRA EXPRESS,KL0
maersk,,,,"['Port Tangier Mediterranee', 'Port Tangier Mediterranee', 'Salalah', 'Jebel Ali', 'Mundra', 'Jawaharlal Nehru']",9525883,ALULA EXPRESS,ID9
maersk,,,,['Port Klang'],9983451,AMALFI BAY,GS0
maersk,,,,"['Shanghai', 'Qingdao', 'Busan', 'Yokohama', 'Manzanillo', 'Lazaro Cardenas', 'Guayaquil-Posorja']",9475703,AMBITION,ET9
maersk,,,,"['Santos', 'Itaguai Sepetiba', 'Salvador', 'Suape', 'Pecem', 'Manaus', 'Pecem', 'Suape', 'Santos', 'Santos', 'Itaguai Sepetiba', 'Salvador', 'Suape', 'Pecem']",9603233,AMERICO VESPUCIO,I3T
maersk,,,,"['Jeddah', 'Port Sudan', 'Jeddah', 'Port Sudan', 'Jeddah', 'Port Sudan', 'Jeddah']",9130121,AMO 2,P03
maersk,,,,"['Guayaquil', 'Arica', 'Antofagasta', 'San Antonio', 'San Vicente', 'Itapoa', 'Rio de Janeiro', 'Santos', 'Rio Grande']",9193317,AMSTERDAM EXPRESS,K7U
maersk,,,,"['Colombo', 'Singapore', 'Tanjung Pelepas', 'Salalah', 'Jebel Ali', 'Colombo', 'Singapore', 'Tanjung Pelepas']",9972983,ANAXAGORAS,EY9
maersk,,,,"['Algeciras', 'Vigo', 'Marin', 'Algeciras', 'Vigo', 'Marin', 'Algeciras', 'Vigo', 'Marin', 'Algeciras', 'Vigo', 'Marin', 'Algeciras', 'Vigo', 'Marin', 'Algeciras', 'Vigo', 'Marin', 'Algeciras']",9333357,ANDREA,71J
maersk,,,,"['Salalah', 'Jebel Ali', 'Mundra', 'Jawaharlal Nehru', 'Salalah']",9948798,ANGELICA MAERSK,V5S
maersk,,,,"['Tanjung Pelepas', 'Singapore', 'Dar es Salaam']",9253002,ANGELIKI,14E
maersk,,,,[],9334167,ANL WANGARATTA,H2V
maersk,,,,"['Surrey', 'Oakland', 'Long Beach']",9440772,ANL WARRNAMBOOL,CZU
maersk,,,,"['Algeciras', 'Port Tangier Mediterranee', 'Dakar', 'Algeciras', 'Port Tangier Mediterranee', 'Port Tangier Mediterranee', 'Dakar', 'Algeciras', 'Port Tangier Mediterranee', 'Port Tangier Mediterranee', 'Dakar', 'Algeciras', 'Port Tangier Mediterranee']",9306201,ANNABA,A7Z
maersk,,,,[],9437141,ANNALISA P,FVN
maersk,,,,"['Port Tangier Mediterranee', 'Port Tangier Mediterranee', 'Algeciras', 'Valencia', 'Fos sur Mer', 'Port Tangier Mediterranee', 'Port Tangier Mediterranee', 'Algeciras', 'Valencia', 'Fos sur Mer', 'Port Tangier Mediterranee', 'Port Tangier Mediterranee', 'Algeciras', 'Valencia', 'Fos sur Mer']",9243186,ANTIBES EXPRESS,IU3
maersk,,,,"['La Spezia', 'Genoa', 'Genoa Vado Ligure', 'Singapore']",9948762,ANTONIA MAERSK,V5P
