cosco,,,,"['Qingdao', 'Shanghai', 'Ningbo', 'Shekou', 'Singapore', 'Rio de Janeiro', 'Santos', 'Paranagua', 'Itapoa', 'Navegantes', 'Santos', 'Rio de Janeiro', 'Colombo', 'Singapore', 'Hong Kong', 'Qingdao', 'Qingdao', 'Shanghai', 'Ningbo', 'Shekou', 'Singapore', 'Rio de Janeiro', 'Santos', 'Paranagua', 'Itapoa', 'Navegantes', 'Santos', 'Rio de Janeiro', 'Colombo', 'Singapore', 'Hong Kong', 'Xingang', 'Xingang']",,COSCO CHIWAN,CJP
cosco,,,,"['Qingdao', 'Shanghai', 'Ningbo', 'Shekou', 'Singapore', 'Rio de Janeiro', 'Santos', 'Paranagua', 'Itapoa', 'Navegantes', 'Santos', 'Rio de Janeiro', 'Colombo', 'Singapore', 'Hong Kong', 'Qingdao', 'Xingang']",,COSCO COLOMBO,CJQ
cosco,,,,"['Qingdao', 'Shanghai', 'Ningbo', 'Shekou', 'Singapore', 'Rio de Janeiro', 'Santos', 'Paranagua', 'Itapoa', 'Navegantes', 'Santos', 'Rio de Janeiro', 'Colombo', 'Singapore', 'Hong Kong', 'Xingang']",,COSCO DALIAN,CJX
cosco,,,,[],,COSCO DENMARK,TCA
cosco,,,,[],,COSCO DEVELOPMENT,TCC
cosco,,,,[],,COSCO DURBAN,TCD
cosco,,,,[],,COSCO ENGLAND,TCE
cosco,,,,"['Rotterdam', 'Rotterdam', 'Klaipeda', 'Riga', 'Tallinn', 'Fredericia', 'Hamburg', 'Rotterdam', 'Rotterdam', 'Rotterdam', 'Rotterdam', 'Riga', 'Klaipeda', 'Rotterdam', 'Rotterdam', 'Rotterdam', 'Hamburg']",,COSCO EUROPE,TCF
cosco,,,,[],,COSCO EXCELLENCE,TCG
cosco,,,,"['Haifa', 'FOS', 'Genoa', 'Salerno', 'Ashdod', 'Ashdod', 'Haifa', 'FOS', 'Genoa', 'Salerno', 'Ashdod']",,COSCO FAITH,TCH
cosco,,,,[],,COSCO FELIXSTOWE,TCI
cosco,,,,[],,COSCO FORTUNE,TCJ
cosco,,,,[],,COSCO FOS,TCK
cosco,,,,[],,COSCO FRANCE,TCL
cosco,,,,Error,,COSCO FUKUYAMA,TCM
cosco,,,,Error,,COSCO GENOA,TCN
cosco,,,,[],,COSCO GERMANY,TCO
cosco,,,,[],,COSCO GLORY,TCP
cosco,,,,[],,COSCO HAIFA,TCQ
cosco,,,,[],,COSCO HAMBURG,TCR
